LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.14874973088161894
Amygdala;DICE;STD;0.01608200837864661
Amygdala;HDRFDST;MEAN;30.99329879657845
Amygdala;HDRFDST;STD;1.8306910460285286
Amygdala;SSIM;MEAN;0.9888371917972816
Amygdala;SSIM;STD;0.0006086719193191648
GreyMatter;DICE;MEAN;0.4459729394322518
GreyMatter;DICE;STD;0.0132873409397068
GreyMatter;HDRFDST;MEAN;22.366453627443285
GreyMatter;HDRFDST;STD;1.6750379492504288
GreyMatter;SSIM;MEAN;0.7555936106998044
GreyMatter;SSIM;STD;0.004833056240117148
Hippocampus;DICE;MEAN;0.12987228275446924
Hippocampus;DICE;STD;0.008564744401971825
Hippocampus;HDRFDST;MEAN;34.33109766663732
Hippocampus;HDRFDST;STD;0.9379408317209
Hippocampus;SSIM;MEAN;0.9710795619411504
Hippocampus;SSIM;STD;0.0005374444760625213
Thalamus;DICE;MEAN;0.2453007561607805
Thalamus;DICE;STD;0.007956354198576057
Thalamus;HDRFDST;MEAN;47.38550246431316
Thalamus;HDRFDST;STD;1.0421881809787008
Thalamus;SSIM;MEAN;0.974688821644558
Thalamus;SSIM;STD;0.00028743479384077413
WhiteMatter;DICE;MEAN;0.4735129973672825
WhiteMatter;DICE;STD;0.021943289744221665
WhiteMatter;HDRFDST;MEAN;22.84101310702306
WhiteMatter;HDRFDST;STD;0.9675330716832493
WhiteMatter;SSIM;MEAN;0.7711444510810261
WhiteMatter;SSIM;STD;0.00287220190149397
