LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.14314021962788115
Amygdala;DICE;STD;0.014694106734957269
Amygdala;HDRFDST;MEAN;31.717855598970846
Amygdala;HDRFDST;STD;1.9790493179386857
Amygdala;SSIM;MEAN;0.9916233006658223
Amygdala;SSIM;STD;0.0004514466906739106
GreyMatter;DICE;MEAN;0.42647782784249194
GreyMatter;DICE;STD;0.012703181764091256
GreyMatter;HDRFDST;MEAN;19.27927808176332
GreyMatter;HDRFDST;STD;5.353871183175808
GreyMatter;SSIM;MEAN;0.7950328463707412
GreyMatter;SSIM;STD;0.004850167872994122
Hippocampus;DICE;MEAN;0.13512416865382398
Hippocampus;DICE;STD;0.011608631324549482
Hippocampus;HDRFDST;MEAN;33.41391340150828
Hippocampus;HDRFDST;STD;1.3464364806796765
Hippocampus;SSIM;MEAN;0.9833167148420344
Hippocampus;SSIM;STD;0.0004944197557179777
Thalamus;DICE;MEAN;0.23900457302815284
Thalamus;DICE;STD;0.009956091766889703
Thalamus;HDRFDST;MEAN;48.16749533017245
Thalamus;HDRFDST;STD;1.0584864750269634
Thalamus;SSIM;MEAN;0.9802855873622228
Thalamus;SSIM;STD;0.00028112042508103064
WhiteMatter;DICE;MEAN;0.4659953813715291
WhiteMatter;DICE;STD;0.02312983507590059
WhiteMatter;HDRFDST;MEAN;22.573546829060028
WhiteMatter;HDRFDST;STD;1.7459907090915365
WhiteMatter;SSIM;MEAN;0.811731580817775
WhiteMatter;SSIM;STD;0.002778786366644715
