LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.1646277674432034
Amygdala;DICE;STD;0.013695239631948693
Amygdala;HDRFDST;MEAN;30.284907105205683
Amygdala;HDRFDST;STD;1.9479223878435286
Amygdala;SSIM;MEAN;0.9916098001956744
Amygdala;SSIM;STD;0.00047379841796983213
GreyMatter;DICE;MEAN;0.45187887999437637
GreyMatter;DICE;STD;0.012521109091090147
GreyMatter;HDRFDST;MEAN;33.3
GreyMatter;HDRFDST;STD;7.105427357601002e-15
GreyMatter;SSIM;MEAN;0.7885585514920144
GreyMatter;SSIM;STD;0.0046899529955519124
Hippocampus;DICE;MEAN;0.13947232392205294
Hippocampus;DICE;STD;0.00897637554434513
Hippocampus;HDRFDST;MEAN;33.66638187229736
Hippocampus;HDRFDST;STD;0.8097725783504222
Hippocampus;SSIM;MEAN;0.9770359004464415
Hippocampus;SSIM;STD;0.0004972538078356927
Thalamus;DICE;MEAN;0.2485795318604731
Thalamus;DICE;STD;0.009395874200504278
Thalamus;HDRFDST;MEAN;46.78542758488537
Thalamus;HDRFDST;STD;1.0196890209505964
Thalamus;SSIM;MEAN;0.9784218835595716
Thalamus;SSIM;STD;0.0002341507343143504
WhiteMatter;DICE;MEAN;0.4770648341159636
WhiteMatter;DICE;STD;0.022039172942752143
WhiteMatter;HDRFDST;MEAN;21.0715036801638
WhiteMatter;HDRFDST;STD;1.62041126163806
WhiteMatter;SSIM;MEAN;0.7976691877945563
WhiteMatter;SSIM;STD;0.003236250679298629
