LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.15579559527462167
Amygdala;DICE;STD;0.012967978229971349
Amygdala;HDRFDST;MEAN;31.03186900349013
Amygdala;HDRFDST;STD;1.9069887651027646
Amygdala;SSIM;MEAN;0.9911674163206164
Amygdala;SSIM;STD;0.0004657437443213975
GreyMatter;DICE;MEAN;0.4356573011084045
GreyMatter;DICE;STD;0.012745787130595914
GreyMatter;HDRFDST;MEAN;25.01848786353808
GreyMatter;HDRFDST;STD;3.3618841476168795
GreyMatter;SSIM;MEAN;0.7826572330089305
GreyMatter;SSIM;STD;0.004854625057499732
Hippocampus;DICE;MEAN;0.1334819377445017
Hippocampus;DICE;STD;0.00853271170607774
Hippocampus;HDRFDST;MEAN;34.34298719528072
Hippocampus;HDRFDST;STD;0.9001280491044246
Hippocampus;SSIM;MEAN;0.9757489830062418
Hippocampus;SSIM;STD;0.0005205806420795329
Thalamus;DICE;MEAN;0.2552615229907008
Thalamus;DICE;STD;0.009671884511425376
Thalamus;HDRFDST;MEAN;47.21566448201388
Thalamus;HDRFDST;STD;1.0473908162159062
Thalamus;SSIM;MEAN;0.9791283728362685
Thalamus;SSIM;STD;0.00025001148724125235
WhiteMatter;DICE;MEAN;0.46755673639761675
WhiteMatter;DICE;STD;0.02227932719163487
WhiteMatter;HDRFDST;MEAN;16.656578982739354
WhiteMatter;HDRFDST;STD;3.580764805424344
WhiteMatter;SSIM;MEAN;0.7921105446448788
WhiteMatter;SSIM;STD;0.00271520603087222
