SUBJECT;LABEL;DICE;SSIM
117122;Amygdala;0.0;0.9980815367207856
117122;GreyMatter;0.5377871313522462;0.7742708920290315
117122;Hippocampus;0.07792172334238871;0.9521632371974356
117122;Thalamus;0.0;0.9942909202990569
117122;WhiteMatter;0.6334531766887457;0.8317131102529871
117122-PP;Amygdala;0.0;0.9980815367207856
117122-PP;GreyMatter;0.5494497545722654;0.7836318331786121
117122-PP;Hippocampus;0.07798422268706506;0.9525278992151043
117122-PP;Thalamus;0.0;0.9942909202990569
117122-PP;WhiteMatter;0.6269991580387302;0.8332442875707659
118528;Amygdala;0.0;0.998038400317226
118528;GreyMatter;0.5034174317792384;0.7850526026909709
118528;Hippocampus;0.10159848279599025;0.9740832718737854
118528;Thalamus;0.17697266866430583;0.9614609442841616
118528;WhiteMatter;0.6228583200759961;0.797027835967816
118528-PP;Amygdala;0.0;0.998038400317226
118528-PP;GreyMatter;0.33839364199405797;0.764519579958828
118528-PP;Hippocampus;0.09997878809304957;0.9774951713558524
118528-PP;Thalamus;0.17726182219240696;0.9615039779763215
118528-PP;WhiteMatter;0.5268442332138619;0.7759114222885328
118730;Amygdala;0.0;0.9980311955681511
118730;GreyMatter;0.6282550848973152;0.7986017129073089
118730;Hippocampus;0.11089685906500407;0.9628768243970203
118730;Thalamus;0.2387939892114051;0.9670749428109953
118730;WhiteMatter;0.7587849600963168;0.8556698421275097
118730-PP;Amygdala;0.0;0.9980311955681511
118730-PP;GreyMatter;0.5899053177259117;0.7916080718618852
118730-PP;Hippocampus;0.1113879781420765;0.9635398775169346
118730-PP;Thalamus;0.2394532853589626;0.9673055284555275
118730-PP;WhiteMatter;0.648591884806524;0.8266719288899537
118932;Amygdala;0.0;0.9981235621681978
118932;GreyMatter;0.5885273729071571;0.774269547471213
118932;Hippocampus;0.1226673514809108;0.9598978705172169
118932;Thalamus;0.1671467166811798;0.9710176098179024
118932;WhiteMatter;0.7518711810472746;0.8554680975209356
118932-PP;Amygdala;0.0;0.9981235621681978
118932-PP;GreyMatter;0.5926642418136878;0.781204956759432
118932-PP;Hippocampus;0.1245000869414015;0.9608985820691597
118932-PP;Thalamus;0.13455425017277126;0.9711270455293696
118932-PP;WhiteMatter;0.6946493142101932;0.8436423092358492
120111;Amygdala;0.0;0.9978390678347506
