LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;SSIM;MEAN;0.9979881346876045
Amygdala;SSIM;STD;8.583678781869755e-05
GreyMatter;DICE;MEAN;0.5577421947599976
GreyMatter;DICE;STD;0.062492513829164424
GreyMatter;SSIM;MEAN;0.7845595378905099
GreyMatter;SSIM;STD;0.01380693168405373
Hippocampus;DICE;MEAN;0.10963147985253552
Hippocampus;DICE;STD;0.024120769079820817
Hippocampus;SSIM;MEAN;0.9623582372003078
Hippocampus;SSIM;STD;0.007158704509794648
Thalamus;DICE;MEAN;0.15101336328966358
Thalamus;DICE;STD;0.10384701231703918
Thalamus;SSIM;MEAN;0.9757617307176002
Thalamus;SSIM;STD;0.012542811407557716
WhiteMatter;DICE;MEAN;0.6802537341669654
WhiteMatter;DICE;STD;0.07323980234629064
WhiteMatter;SSIM;MEAN;0.8385132009464045
WhiteMatter;SSIM;STD;0.024348640014727124
