SUBJECT;LABEL;DICE;SSIM
117122;Amygdala;0.0;0.9981030418886957
117122;GreyMatter;0.5409507825634422;0.7747228700154707
117122;Hippocampus;0.07832568923962455;0.9490063834076924
117122;Thalamus;0.0;0.994267170205892
117122;WhiteMatter;0.6390948696897604;0.835648311272421
117122-PP;Amygdala;0.0;0.9981030418886957
117122-PP;GreyMatter;0.5361834922672641;0.7824410902126464
117122-PP;Hippocampus;0.07824553894442916;0.9496935330270184
117122-PP;Thalamus;0.0;0.994267170205892
117122-PP;WhiteMatter;0.6012185557440515;0.8275389224550954
118528;Amygdala;0.0;0.9980299168998134
118528;GreyMatter;0.5426078487198296;0.7933037374488481
118528;Hippocampus;0.16690841276419394;0.9699302212489593
118528;Thalamus;0.18714334432192792;0.9606790812935254
118528;WhiteMatter;0.6466107983882019;0.8056502281377198
118528-PP;Amygdala;0.0;0.9980299168998134
118528-PP;GreyMatter;0.3976534480217384;0.7708806390424299
118528-PP;Hippocampus;0.1642046670948405;0.9721199148729904
118528-PP;Thalamus;0.18745018559424317;0.9607112633175584
118528-PP;WhiteMatter;0.5455169438960729;0.782432887632587
118730;Amygdala;0.0;0.9980363937303397
118730;GreyMatter;0.6204075410335891;0.8011760304081855
118730;Hippocampus;0.13398785139143946;0.9613808386974336
118730;Thalamus;0.22620697538184573;0.9646081194151348
118730;WhiteMatter;0.7144100012191202;0.8367360111622039
118730-PP;Amygdala;0.0;0.9980363937303397
118730-PP;GreyMatter;0.5492887109347847;0.7854352270566416
118730-PP;Hippocampus;0.13391379434410305;0.9624228110888015
118730-PP;Thalamus;0.22723814718589863;0.9649469908511136
118730-PP;WhiteMatter;0.594686745491504;0.8066218543532604
118932;Amygdala;0.0;0.9980974121062179
118932;GreyMatter;0.5834160313217274;0.7723892652091344
118932;Hippocampus;0.1424921266860776;0.9560718020145426
118932;Thalamus;0.14977596649629613;0.9710262015000206
118932;WhiteMatter;0.7303085332127194;0.8502832440186827
118932-PP;Amygdala;0.0;0.9980974121062179
118932-PP;GreyMatter;0.5766871399662925;0.7779844171358207
118932-PP;Hippocampus;0.14459586608795946;0.9571445827604862
118932-PP;Thalamus;0.1004019862851738;0.9711710368114822
118932-PP;WhiteMatter;0.6522859790875342;0.8331139979663768
120111;Amygdala;0.0;0.9978738355845478
120111;GreyMatter;0.6309388878099745;0.8146751834775467
120111;Hippocampus;0.17619551791071114;0.966360182112071
120111;Thalamus;0.2276749211540708;0.9653185218506509
120111;WhiteMatter;0.7948869747790694;0.8716612142326261
120111-PP;Amygdala;0.0;0.9978738355845478
120111-PP;GreyMatter;0.5909436379967714;0.8047611262941481
