LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;SSIM;MEAN;0.997991719827372
Amygdala;SSIM;STD;8.018998461604458e-05
GreyMatter;DICE;MEAN;0.5623877304335279
GreyMatter;DICE;STD;0.05052168867726076
GreyMatter;SSIM;MEAN;0.7862944167468704
GreyMatter;SSIM;STD;0.014567619742081513
Hippocampus;DICE;MEAN;0.14096924455641419
Hippocampus;DICE;STD;0.033263815413612174
Hippocampus;SSIM;MEAN;0.9602032496387078
Hippocampus;SSIM;STD;0.00641515964508867
Thalamus;DICE;MEAN;0.16823277403327797
Thalamus;DICE;STD;0.08948420828369472
Thalamus;SSIM;MEAN;0.9727673542529948
Thalamus;SSIM;STD;0.011190097938429377
WhiteMatter;DICE;MEAN;0.6778794617650616
WhiteMatter;DICE;STD;0.06288308538026131
WhiteMatter;SSIM;MEAN;0.8365427559531637
WhiteMatter;SSIM;STD;0.02154500429478898
