LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;SSIM;MEAN;0.997991719827372
Amygdala;SSIM;STD;8.018998461604458e-05
GreyMatter;DICE;MEAN;0.5698136950595747
GreyMatter;DICE;STD;0.044446586133322585
GreyMatter;SSIM;MEAN;0.7879351655087644
GreyMatter;SSIM;STD;0.014292864913328337
Hippocampus;DICE;MEAN;0.13336226630384326
Hippocampus;DICE;STD;0.03015734823143869
Hippocampus;SSIM;MEAN;0.9623979963996374
Hippocampus;SSIM;STD;0.00615776165793705
Thalamus;DICE;MEAN;0.16655832163719808
Thalamus;DICE;STD;0.09004221325947243
Thalamus;SSIM;MEAN;0.9735365741761287
Thalamus;SSIM;STD;0.011150804676541335
WhiteMatter;DICE;MEAN;0.6854794399168476
WhiteMatter;DICE;STD;0.058952877326652275
WhiteMatter;SSIM;MEAN;0.8397075609220475
WhiteMatter;SSIM;STD;0.020645319982294682
