LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.0
Amygdala;DICE;STD;0.0
Amygdala;SSIM;MEAN;0.9988046838778057
Amygdala;SSIM;STD;5.897314204469502e-05
GreyMatter;DICE;MEAN;0.5668514576961182
GreyMatter;DICE;STD;0.04423970914783679
GreyMatter;SSIM;MEAN;0.8049536503627266
GreyMatter;SSIM;STD;0.01729358687487657
Hippocampus;DICE;MEAN;0.1166826243324471
Hippocampus;DICE;STD;0.0330585250138571
Hippocampus;SSIM;MEAN;0.9694011142173624
Hippocampus;SSIM;STD;0.007854690874269557
Thalamus;DICE;MEAN;0.1424505179707131
Thalamus;DICE;STD;0.09176572321613577
Thalamus;SSIM;MEAN;0.9817433712397221
Thalamus;SSIM;STD;0.010732298498666653
WhiteMatter;DICE;MEAN;0.6765509855632754
WhiteMatter;DICE;STD;0.07112076157880282
WhiteMatter;SSIM;MEAN;0.8583398592426473
WhiteMatter;SSIM;STD;0.016586578095857552
